,Total Gap,Fraction Electric Spending,Total Households,Households Poverty <2.5,Avg Total Energy Cost,Fraction Owners,Median Cost Burden,Median Cost Burden Poverty<2.5,Utility Number,Utility Name
161.0,11345018.0,0.708250726225795,75032.0,26385.0,2117.636962890625,0.6554003625119948,3.059999942779541,6.389999866485596,3093.0,Carroll Electric Coop Corp - (AR)
162.0,11345018.0,0.708250726225795,75032.0,26385.0,2117.636962890625,0.6554003625119948,3.059999942779541,6.389999866485596,3093.0,Carroll Electric Coop Corp - (AR)
163.0,3348196.0,0.9317421105890717,23090.0,7945.0,1967.01806640625,0.7013425725422261,3.119999885559082,7.03000020980835,3107.0,Carteret-Craven El Member Corp
164.0,1329452.0,0.8014680439340459,5708.0,2283.0,2125.59814453125,0.6117729502452698,3.390000104904175,7.550000190734863,3108.0,City of Cartersville - (GA)
165.0,1461280.0,0.7927055178202734,4060.0,2353.0,2214.8212890625,0.4970443349753695,5.095000267028809,7.659999847412109,3113.0,City of Carthage - (MO)
166.0,2409842.0,0.6815325104456094,18304.0,6498.0,1840.358642578125,0.6782670454545454,2.890000104904175,6.420000076293945,3203.0,Cedar Falls Utilities
167.0,746885.0,0.6160685874920654,5479.0,1759.0,1962.1375732421875,0.7937579850337653,2.8499999046325684,6.659999847412109,3205.0,Cedar-Knox Public Power Dist
168.0,240815.0,0.5980618962360771,5333.0,1126.0,1799.3721923828125,0.7522970185636603,2.1500000953674316,5.385000228881836,3208.0,Cedarburg Light & Water Comm
170.0,14731832.0,0.8813151092593865,36622.0,14503.0,2710.531005859375,0.7306537054229698,4.460000038146973,10.0,3222.0,Central Alabama Electric Coop
171.0,4496251.0,0.7839998345850702,16073.0,6620.0,2230.476806640625,0.6686990605363031,3.7699999809265137,8.390000343322754,3226.0,"Central Rural Electric Cooperative, Inc"
172.0,2149191.0,0.7010110133484593,6670.0,2324.0,2534.261474609375,0.6772113943028486,4.139999866485596,8.90999984741211,3236.0,"Central Electric Coop, Inc - (SD)"
173.0,1236233.0,0.7364797049027128,13644.0,3404.0,1985.1639404296875,0.8375842861330988,2.4700000286102295,6.429999828338623,3240.0,Central Electric Coop Inc - (OR)
174.0,6820046.0,0.9273350589529795,16646.0,8522.0,2389.712890625,0.8061996876126397,5.099999904632568,8.960000038146973,3245.0,"Central Florida Elec Coop, Inc"
175.0,8185741.0,0.7823839667847088,43572.0,14199.0,2317.72021484375,0.7490590287340494,3.25,7.349999904632568,3248.0,Central Georgia El Member Corp
176.0,94848144.0,0.5343970368005572,228816.0,63801.0,3175.5126953125,0.688653765470946,4.039999961853027,11.350000381469727,3249.0,Central Hudson Gas & Elec Corp
177.0,94848144.0,0.5343970368005572,228816.0,63801.0,3175.5126953125,0.688653765470946,4.039999961853027,11.350000381469727,3249.0,Central Hudson Gas & Elec Corp
178.0,5382168.0,0.8997037340718288,18385.0,6898.0,2436.352294921875,0.6699483274408485,3.700000047683716,8.555000305175781,3250.0,Central Electric Membership Corp. - (NC)
179.0,3204429.0,0.8716253548215354,22326.0,8493.0,1722.6380615234375,0.7218041745050614,2.9800000190734863,6.570000171661377,3264.0,Central Lincoln People's Ut Dt
180.0,52690376.0,0.8736646598652843,160686.0,68935.0,2281.47802734375,0.716266507349738,4.019999980926514,9.130000114440918,3265.0,Cleco Power LLC
181.0,148830624.0,0.46672883593861875,415541.0,129074.0,2841.556396484375,0.7325173689238847,4.110000133514404,9.920000076293945,3266.0,Central Maine Power Co
182.0,148830624.0,0.46672883593861875,415541.0,129074.0,2841.556396484375,0.7325173689238847,4.110000133514404,9.920000076293945,3266.0,Central Maine Power Co
183.0,2846310.0,0.7074120925497625,9861.0,4210.0,2370.349853515625,0.7242673156880641,4.230000019073486,8.145000457763672,3268.0,Central Missouri Elec Coop Inc
184.0,10596172.0,0.6429306517197779,19148.0,6602.0,3159.25390625,0.8688635888865678,4.639999866485596,12.045000076293945,3273.0,"Central New Mexico El Coop, Inc"
185.0,6682458.0,0.837848189396932,40606.0,12486.0,2134.120361328125,0.7462197704772694,2.940000057220459,7.150000095367432,3282.0,"Central Texas Elec Coop, Inc"
186.0,1583809.0,0.7711708375261176,4364.0,2101.0,2378.764892578125,0.7000458295142071,4.28000020980835,7.849999904632568,3287.0,"Central Valley Elec Coop, Inc"
187.0,10882263.0,0.7855573589836794,31712.0,8733.0,2840.612060546875,0.7452383955600403,3.7100000381469727,10.65999984741211,3291.0,Central Virginia Electric Coop
188.0,143826.0,0.8019969195503276,1805.0,815.0,1401.9071044921875,0.5462603878116343,2.549999952316284,5.460000038146973,3295.0,City of Centralia - (WA)
189.0,1490611.0,0.7117875895573953,12274.0,3545.0,2027.810546875,0.718266253869969,2.7899999618530273,6.360000133514404,3329.0,Borough of Chambersburg
190.0,999153.0,0.6402857588702707,4803.0,1998.0,2035.5877685546875,0.7503643556110764,3.7300000190734863,7.404999732971191,3355.0,City of Chanute
191.0,1175228.0,0.7070569850627416,10031.0,2268.0,2381.142578125,0.6961419599242349,2.619999885559082,7.050000190734863,3400.0,City of Chaska - (MN)
192.0,27784660.0,0.8213969494118725,147610.0,54095.0,1994.0028076171875,0.6248289411286498,3.25,7.510000228881836,3408.0,City of Chattanooga - (TN)
193.0,27784660.0,0.8213969494118725,147610.0,54095.0,1994.0028076171875,0.6248289411286498,3.25,7.510000228881836,3408.0,City of Chattanooga - (TN)
194.0,268428.0,0.8571801816444503,29474.0,10374.0,722.0083618164062,0.630827169708896,1.0199999809265137,2.130000114440918,3413.0,PUD No 1 of Chelan County
195.0,5434510.0,0.8502451671815121,10319.0,5000.0,2678.868896484375,0.7794359918596764,5.710000038146973,10.460000038146973,3426.0,Cherokee Electric Coop - (AL)
196.0,9198553.0,0.5283895706052315,30709.0,10148.0,2477.8232421875,0.8329479957015858,3.759999990463257,8.619999885559082,3436.0,Cherryland Electric Coop Inc
197.0,4559306.0,0.6868568566452424,33193.0,9808.0,2073.97802734375,0.6936703521826891,2.930000066757202,6.849999904632568,3461.0,Cheyenne Light Fuel & Power
198.0,10857444.0,0.8221860561747032,40983.0,16238.0,2264.61572265625,0.6826977039260181,3.6500000953674316,8.069999694824219,3470.0,Cherokee County Elec Coop Assn - (TX)
199.0,147703.0,0.7766623548646957,730.0,222.0,2417.486083984375,0.7465753424657534,3.684999942779541,7.194999694824219,3475.0,City of Chickamauga
200.0,14200520.0,0.4574707097346245,47367.0,17694.0,2449.608642578125,0.6105727616272932,3.7300000190734863,8.720000267028809,3477.0,City of Chicopee - (MA)
201.0,2128003.0,0.7808199737297007,12686.0,3544.0,2384.108642578125,0.717405013400599,2.990000009536743,7.489999771118164,3478.0,Cimarron Electric Coop
